protein	date	y
NSP14	2020-04-09	0.00
NS3	2020-04-09	1.00
NSP15	2020-04-09	0.00
NSP16	2020-04-09	0.00
NS9b	2020-04-09	0.00
NS6	2020-04-09	0.00
NS9c	2020-04-09	0.00
NSP1	2020-04-09	0.00
NSP2	2020-04-09	0.50
NS8	2020-04-09	0.00
NSP3	2020-04-09	0.00
NSP4	2020-08-12	0.00
E	2020-08-12	0.00
NS7a	2020-08-12	0.00
NSP5	2020-08-12	0.00
NS7b	2020-08-12	0.00
NSP6	2020-08-12	0.00
NSP7	2020-08-12	0.00
NSP8	2020-08-12	0.00
Spike	2020-08-12	0.50
NSP9	2020-08-12	0.00
NSP10	2020-08-12	0.00
NSP11	2020-08-12	0.00
NSP12	2020-08-12	0.50
M	2020-08-12	0.00
NSP13	2020-08-12	0.00
N	2020-08-12	0.50
NSP14	2020-08-12	0.00
NS3	2020-08-12	0.50
NSP15	2020-08-12	0.00
NSP16	2020-08-12	0.00
NS9b	2020-08-12	0.00
NS6	2020-08-12	0.00
NS9c	2020-08-12	0.00
NSP1	2020-08-12	0.00
NSP2	2020-08-12	0.00
NS8	2020-08-12	0.00
NSP3	2020-08-12	0.00
NSP4	2020-08-28	0.00
E	2020-08-28	0.00
NS7a	2020-08-28	0.00
NSP5	2020-08-28	0.00
NS7b	2020-08-28	0.00
NSP6	2020-08-28	0.00
NSP7	2020-08-28	0.00
NSP8	2020-08-28	0.00
Spike	2020-08-28	1.00
NSP9	2020-08-28	0.00
NSP10	2020-08-28	0.00
NSP11	2020-08-28	0.00
NSP12	2020-08-28	1.00
M	2020-08-28	0.00
NSP13	2020-08-28	0.00
N	2020-08-28	1.00
NSP14	2020-08-28	0.00
NS3	2020-08-28	1.00
NSP15	2020-08-28	0.00
NSP16	2020-08-28	0.00
NS9b	2020-08-28	0.00
NS6	2020-08-28	0.00
NS9c	2020-08-28	0.00
NSP1	2020-08-28	0.00
NSP2	2020-08-28	0.00
NS8	2020-08-28	0.00
NSP3	2020-08-28	0.00
NSP4	2020-09-18	0.00
E	2020-09-18	0.00
NS7a	2020-09-18	0.00
NSP5	2020-09-18	0.00
NS7b	2020-09-18	0.00
NSP6	2020-09-18	0.00
NSP7	2020-09-18	0.00
NSP8	2020-09-18	0.00
Spike	2020-09-18	1.00
NSP9	2020-09-18	0.00
NSP10	2020-09-18	0.00
NSP11	2020-09-18	0.00
NSP12	2020-09-18	0.50
M	2020-09-18	0.00
NSP13	2020-09-18	0.00
N	2020-09-18	0.50
NSP14	2020-09-18	0.00
NS3	2020-09-18	0.50
NSP15	2020-09-18	0.00
NSP16	2020-09-18	0.00
NS9b	2020-09-18	0.00
NS6	2020-09-18	0.00
NS9c	2020-09-18	0.00
NSP1	2020-09-18	0.00
NSP2	2020-09-18	0.00
NS8	2020-09-18	0.00
NSP3	2020-09-18	0.00
NSP4	2020-09-23	0.00
E	2020-09-23	0.00
NS7a	2020-09-23	0.00
NSP5	2020-09-23	0.00
NS7b	2020-09-23	0.00
NSP6	2020-09-23	0.00
NSP7	2020-09-23	0.00
NSP8	2020-09-23	0.50
Spike	2020-09-23	0.50
NSP9	2020-09-23	0.00
NSP10	2020-09-23	0.00
NSP11	2020-09-23	0.00
NSP12	2020-09-23	0.50
M	2020-09-23	0.00
NSP13	2020-09-23	0.00
N	2020-09-23	0.50
NSP14	2020-09-23	0.00
NS3	2020-09-23	1.00
NSP15	2020-09-23	0.00
NSP16	2020-09-23	0.00
NS9b	2020-09-23	0.00
NS6	2020-09-23	0.00
NS9c	2020-09-23	0.00
NSP1	2020-09-23	0.50
NSP2	2020-09-23	0.00
NS8	2020-09-23	0.00
NSP3	2020-09-23	0.50
NSP4	2020-10-05	0.00
E	2020-10-05	0.00
NS7a	2020-10-05	0.00
NSP5	2020-10-05	0.00
NS7b	2020-10-05	0.00
NSP6	2020-10-05	0.00
NSP7	2020-10-05	0.00
NSP8	2020-10-05	0.00
Spike	2020-10-05	0.50
NSP9	2020-10-05	0.00
NSP10	2020-10-05	0.00
NSP11	2020-10-05	0.00
NSP12	2020-10-05	0.50
M	2020-10-05	0.00
NSP13	2020-10-05	0.50
N	2020-10-05	0.50
NSP14	2020-10-05	0.00
NS3	2020-10-05	0.50
NSP15	2020-10-05	0.00
NSP16	2020-10-05	0.00
NS9b	2020-10-05	0.00
NS6	2020-10-05	0.00
NS9c	2020-10-05	0.00
NSP1	2020-10-05	0.00
NSP2	2020-10-05	0.00
NS8	2020-10-05	0.50
NSP3	2020-10-05	0.00
NSP4	2020-10-06	0.00
E	2020-10-06	0.00
NS7a	2020-10-06	0.00
NSP5	2020-10-06	0.00
NS7b	2020-10-06	0.00
NSP6	2020-10-06	0.00
NSP7	2020-10-06	0.00
NSP8	2020-10-06	0.00
Spike	2020-10-06	1.50
NSP9	2020-10-06	0.00
NSP10	2020-10-06	0.00
NSP11	2020-10-06	0.00
NSP12	2020-10-06	1.00
M	2020-10-06	0.00
NSP13	2020-10-06	0.00
N	2020-10-06	1.00
NSP14	2020-10-06	0.00
NS3	2020-10-06	1.00
NSP15	2020-10-06	0.00
NSP16	2020-10-06	0.00
NS9b	2020-10-06	0.00
NS6	2020-10-06	0.00
NS9c	2020-10-06	0.00
NSP1	2020-10-06	0.00
NSP2	2020-10-06	0.00
NS8	2020-10-06	0.00
NSP3	2020-10-06	0.50
NSP4	2020-10-18	0.00
E	2020-10-18	0.00
NS7a	2020-10-18	0.00
NSP5	2020-10-18	0.00
NS7b	2020-10-18	0.00
NSP6	2020-10-18	0.00
NSP7	2020-10-18	0.00
NSP8	2020-10-18	0.00
Spike	2020-10-18	1.50
NSP9	2020-10-18	0.00
NSP10	2020-10-18	0.00
NSP11	2020-10-18	0.00
NSP12	2020-10-18	1.00
M	2020-10-18	0.00
NSP13	2020-10-18	0.00
N	2020-10-18	1.50
NSP14	2020-10-18	0.00
NS3	2020-10-18	1.00
NSP15	2020-10-18	0.00
NSP16	2020-10-18	0.00
NS9b	2020-10-18	0.00
NS6	2020-10-18	0.00
NS9c	2020-10-18	0.00
NSP1	2020-10-18	0.00
NSP2	2020-10-18	0.00
NS8	2020-10-18	0.00
NSP3	2020-10-18	0.50
NSP4	2020-10-21	0.00
E	2020-10-21	0.00
NS7a	2020-10-21	0.00
NSP5	2020-10-21	0.00
NS7b	2020-10-21	0.00
NSP6	2020-10-21	0.00
NSP7	2020-10-21	0.00
NSP8	2020-10-21	0.50
Spike	2020-10-21	0.50
NSP9	2020-10-21	0.00
NSP10	2020-10-21	0.00
NSP11	2020-10-21	0.00
NSP12	2020-10-21	0.50
M	2020-10-21	0.00
NSP13	2020-10-21	0.00
N	2020-10-21	0.50
NSP14	2020-10-21	0.00
NS3	2020-10-21	0.50
NSP15	2020-10-21	0.00
NSP16	2020-10-21	0.00
NS9b	2020-10-21	0.00
NS6	2020-10-21	0.00
NS9c	2020-10-21	0.00
NSP1	2020-10-21	0.00
NSP2	2020-10-21	0.00
NS8	2020-10-21	0.00
NSP3	2020-10-21	0.00
NSP4	2020-10-23	0.00
E	2020-10-23	0.00
NS7a	2020-10-23	0.00
NSP5	2020-10-23	0.00
NS7b	2020-10-23	0.00
NSP6	2020-10-23	0.00
NSP7	2020-10-23	0.00
NSP8	2020-10-23	1.00
Spike	2020-10-23	1.00
NSP9	2020-10-23	0.00
NSP10	2020-10-23	0.00
NSP11	2020-10-23	0.00
NSP12	2020-10-23	1.00
M	2020-10-23	0.00
NSP13	2020-10-23	0.00
N	2020-10-23	1.00
NSP14	2020-10-23	0.00
NS3	2020-10-23	1.00
NSP15	2020-10-23	0.00
NSP16	2020-10-23	0.00
NS9b	2020-10-23	0.00
NS6	2020-10-23	0.00
NS9c	2020-10-23	0.00
NSP1	2020-10-23	0.00
NSP2	2020-10-23	0.00
NS8	2020-10-23	0.00
NSP3	2020-10-23	0.00
NSP4	2020-10-25	0.00
E	2020-10-25	0.00
NS7a	2020-10-25	0.00
NSP5	2020-10-25	0.00
NS7b	2020-10-25	0.00
NSP6	2020-10-25	0.00
NSP7	2020-10-25	0.00
NSP8	2020-10-25	0.50
Spike	2020-10-25	0.50
NSP9	2020-10-25	0.00
NSP10	2020-10-25	0.00
NSP11	2020-10-25	0.00
NSP12	2020-10-25	0.50
M	2020-10-25	0.00
NSP13	2020-10-25	0.00
N	2020-10-25	0.50
NSP14	2020-10-25	0.00
NS3	2020-10-25	0.50
NSP15	2020-10-25	0.00
NSP16	2020-10-25	0.00
NS9b	2020-10-25	0.00
NS6	2020-10-25	0.00
NS9c	2020-10-25	0.00
NSP1	2020-10-25	0.50
NSP2	2020-10-25	0.00
NS8	2020-10-25	0.00
NSP3	2020-10-25	0.00
NSP4	2020-11-05	0.00
E	2020-11-05	0.00
NS7a	2020-11-05	0.00
NSP5	2020-11-05	0.00
NS7b	2020-11-05	0.00
NSP6	2020-11-05	0.00
NSP7	2020-11-05	0.00
NSP8	2020-11-05	0.00
Spike	2020-11-05	1.00
NSP9	2020-11-05	0.00
NSP10	2020-11-05	0.00
NSP11	2020-11-05	0.00
NSP12	2020-11-05	0.50
M	2020-11-05	0.00
NSP13	2020-11-05	0.00
N	2020-11-05	0.50
NSP14	2020-11-05	0.00
NS3	2020-11-05	1.00
NSP15	2020-11-05	0.00
NSP16	2020-11-05	0.00
NS9b	2020-11-05	0.00
NS6	2020-11-05	0.00
NS9c	2020-11-05	0.00
NSP1	2020-11-05	0.00
NSP2	2020-11-05	0.50
NS8	2020-11-05	0.00
NSP3	2020-11-05	0.00
NSP4	2020-12-07	0.00
E	2020-12-07	0.00
NS7a	2020-12-07	0.00
NSP5	2020-12-07	0.00
NS7b	2020-12-07	0.00
NSP6	2020-12-07	0.00
NSP7	2020-12-07	0.00
NSP8	2020-12-07	0.00
Spike	2020-12-07	0.50
NSP9	2020-12-07	0.00
NSP10	2020-12-07	0.00
NSP11	2020-12-07	0.00
NSP12	2020-12-07	0.50
M	2020-12-07	0.00
NSP13	2020-12-07	0.00
N	2020-12-07	1.00
NSP14	2020-12-07	0.00
NS3	2020-12-07	0.00
NSP15	2020-12-07	0.00
NSP16	2020-12-07	0.00
NS9b	2020-12-07	0.00
NS6	2020-12-07	0.00
NS9c	2020-12-07	0.00
NSP1	2020-12-07	0.00
NSP2	2020-12-07	0.00
NS8	2020-12-07	0.00
NSP3	2020-12-07	0.50
NSP4	2020-12-13	0.00
E	2020-12-13	0.00
NS7a	2020-12-13	0.00
NSP5	2020-12-13	0.00
NS7b	2020-12-13	0.00
NSP6	2020-12-13	0.00
NSP7	2020-12-13	0.00
NSP8	2020-12-13	0.00
Spike	2020-12-13	1.00
NSP9	2020-12-13	0.00
NSP10	2020-12-13	0.00
NSP11	2020-12-13	0.00
NSP12	2020-12-13	0.50
M	2020-12-13	0.00
NSP13	2020-12-13	0.00
N	2020-12-13	0.50
NSP14	2020-12-13	0.00
NS3	2020-12-13	1.00
NSP15	2020-12-13	0.00
NSP16	2020-12-13	0.00
NS9b	2020-12-13	0.00
NS6	2020-12-13	0.00
NS9c	2020-12-13	0.00
NSP1	2020-12-13	0.00
NSP2	2020-12-13	0.50
NS8	2020-12-13	0.00
NSP3	2020-12-13	0.00
NSP4	2020-12-16	0.00
E	2020-12-16	0.00
NS7a	2020-12-16	0.00
NSP5	2020-12-16	0.00
NS7b	2020-12-16	0.00
NSP6	2020-12-16	0.00
NSP7	2020-12-16	0.00
NSP8	2020-12-16	0.00
Spike	2020-12-16	1.00
NSP9	2020-12-16	0.00
NSP10	2020-12-16	0.00
NSP11	2020-12-16	0.00
NSP12	2020-12-16	0.50
M	2020-12-16	0.00
NSP13	2020-12-16	0.00
N	2020-12-16	0.50
NSP14	2020-12-16	0.00
NS3	2020-12-16	1.00
NSP15	2020-12-16	0.50
NSP16	2020-12-16	0.00
NS9b	2020-12-16	0.00
NS6	2020-12-16	0.00
NS9c	2020-12-16	0.00
NSP1	2020-12-16	0.00
NSP2	2020-12-16	0.00
NS8	2020-12-16	0.00
NSP3	2020-12-16	0.50
NSP4	2020-12-17	0.00
E	2020-12-17	0.00
NS7a	2020-12-17	0.00
NSP5	2020-12-17	0.00
NS7b	2020-12-17	0.00
NSP6	2020-12-17	0.00
NSP7	2020-12-17	0.00
NSP8	2020-12-17	0.00
Spike	2020-12-17	1.00
NSP9	2020-12-17	0.00
NSP10	2020-12-17	0.00
NSP11	2020-12-17	0.00
NSP12	2020-12-17	0.50
M	2020-12-17	0.00
NSP13	2020-12-17	0.00
N	2020-12-17	1.00
NSP14	2020-12-17	0.50
NS3	2020-12-17	1.00
NSP15	2020-12-17	0.00
NSP16	2020-12-17	0.00
NS9b	2020-12-17	0.00
NS6	2020-12-17	0.00
NS9c	2020-12-17	0.00
NSP1	2020-12-17	0.00
NSP2	2020-12-17	0.00
NS8	2020-12-17	0.00
NSP3	2020-12-17	0.00
NSP4	2020-12-18	0.00
E	2020-12-18	0.00
NS7a	2020-12-18	0.00
NSP5	2020-12-18	0.00
NS7b	2020-12-18	0.00
NSP6	2020-12-18	0.00
NSP7	2020-12-18	0.00
NSP8	2020-12-18	0.00
Spike	2020-12-18	1.00
NSP9	2020-12-18	0.00
NSP10	2020-12-18	0.00
NSP11	2020-12-18	0.00
NSP12	2020-12-18	0.50
M	2020-12-18	0.00
NSP13	2020-12-18	0.00
N	2020-12-18	0.50
NSP14	2020-12-18	0.00
NS3	2020-12-18	1.00
NSP15	2020-12-18	0.00
NSP16	2020-12-18	0.00
NS9b	2020-12-18	0.00
NS6	2020-12-18	0.00
NS9c	2020-12-18	0.00
NSP1	2020-12-18	0.00
NSP2	2020-12-18	1.00
NS8	2020-12-18	0.00
NSP3	2020-12-18	0.00
NSP4	2020-12-19	0.00
E	2020-12-19	0.00
NS7a	2020-12-19	0.00
NSP5	2020-12-19	0.00
NS7b	2020-12-19	0.00
NSP6	2020-12-19	0.00
NSP7	2020-12-19	0.00
NSP8	2020-12-19	0.00
Spike	2020-12-19	1.00
NSP9	2020-12-19	0.00
NSP10	2020-12-19	0.00
NSP11	2020-12-19	0.00
NSP12	2020-12-19	0.50
M	2020-12-19	0.00
NSP13	2020-12-19	0.00
N	2020-12-19	0.50
NSP14	2020-12-19	0.00
NS3	2020-12-19	0.50
NSP15	2020-12-19	0.00
NSP16	2020-12-19	0.00
NS9b	2020-12-19	0.00
NS6	2020-12-19	0.00
NS9c	2020-12-19	0.00
NSP1	2020-12-19	0.00
NSP2	2020-12-19	0.00
NS8	2020-12-19	0.00
NSP3	2020-12-19	0.00
NSP4	2020-12-22	0.00
E	2020-12-22	0.00
NS7a	2020-12-22	0.00
NSP5	2020-12-22	0.00
NS7b	2020-12-22	0.00
NSP6	2020-12-22	0.00
NSP7	2020-12-22	0.00
NSP8	2020-12-22	0.00
Spike	2020-12-22	2.00
NSP9	2020-12-22	0.00
NSP10	2020-12-22	0.00
NSP11	2020-12-22	0.00
NSP12	2020-12-22	1.00
M	2020-12-22	0.00
NSP13	2020-12-22	0.00
N	2020-12-22	1.00
NSP14	2020-12-22	0.00
NS3	2020-12-22	1.50
NSP15	2020-12-22	0.00
NSP16	2020-12-22	0.00
NS9b	2020-12-22	0.00
NS6	2020-12-22	0.00
NS9c	2020-12-22	0.00
NSP1	2020-12-22	0.00
NSP2	2020-12-22	0.50
NS8	2020-12-22	0.00
NSP3	2020-12-22	0.50
NSP4	2020-12-25	0.50
E	2020-12-25	0.00
NS7a	2020-12-25	0.00
NSP5	2020-12-25	0.50
NS7b	2020-12-25	0.00
NSP6	2020-12-25	0.00
NSP7	2020-12-25	0.00
NSP8	2020-12-25	0.00
Spike	2020-12-25	1.50
NSP9	2020-12-25	0.00
NSP10	2020-12-25	0.00
NSP11	2020-12-25	0.00
NSP12	2020-12-25	1.00
M	2020-12-25	0.00
NSP13	2020-12-25	0.50
N	2020-12-25	1.50
NSP14	2020-12-25	0.00
NS3	2020-12-25	1.50
NSP15	2020-12-25	0.00
NSP16	2020-12-25	0.00
NS9b	2020-12-25	0.00
NS6	2020-12-25	0.00
NS9c	2020-12-25	0.00
NSP1	2020-12-25	0.00
NSP2	2020-12-25	0.50
NS8	2020-12-25	0.00
NSP3	2020-12-25	0.00
NSP4	2020-12-26	0.00
E	2020-12-26	0.00
NS7a	2020-12-26	0.00
NSP5	2020-12-26	0.00
NS7b	2020-12-26	0.00
NSP6	2020-12-26	0.50
NSP7	2020-12-26	0.00
NSP8	2020-12-26	0.50
Spike	2020-12-26	1.00
NSP9	2020-12-26	0.00
NSP10	2020-12-26	0.00
NSP11	2020-12-26	0.00
NSP12	2020-12-26	0.50
M	2020-12-26	0.00
NSP13	2020-12-26	0.50
N	2020-12-26	1.50
NSP14	2020-12-26	0.00
NS3	2020-12-26	0.50
NSP15	2020-12-26	0.00
NSP16	2020-12-26	0.00
NS9b	2020-12-26	0.00
NS6	2020-12-26	0.00
NS9c	2020-12-26	0.00
NSP1	2020-12-26	0.00
NSP2	2020-12-26	0.50
NS8	2020-12-26	0.00
NSP3	2020-12-26	0.50
NSP4	2020-12-27	0.50
E	2020-12-27	0.00
NS7a	2020-12-27	0.00
NSP5	2020-12-27	0.00
NS7b	2020-12-27	0.00
NSP6	2020-12-27	1.00
NSP7	2020-12-27	0.00
NSP8	2020-12-27	0.50
Spike	2020-12-27	2.50
NSP9	2020-12-27	0.00
NSP10	2020-12-27	0.00
NSP11	2020-12-27	0.00
NSP12	2020-12-27	1.00
M	2020-12-27	0.00
NSP13	2020-12-27	0.00
N	2020-12-27	1.50
NSP14	2020-12-27	0.00
NS3	2020-12-27	1.00
NSP15	2020-12-27	0.00
NSP16	2020-12-27	0.00
NS9b	2020-12-27	0.00
NS6	2020-12-27	0.00
NS9c	2020-12-27	0.00
NSP1	2020-12-27	0.00
NSP2	2020-12-27	0.50
NS8	2020-12-27	0.00
NSP3	2020-12-27	1.50
NSP4	2020-12-28	1.00
E	2020-12-28	0.00
NS7a	2020-12-28	0.00
NSP5	2020-12-28	0.00
NS7b	2020-12-28	0.00
NSP6	2020-12-28	0.50
NSP7	2020-12-28	0.00
NSP8	2020-12-28	0.50
Spike	2020-12-28	2.50
NSP9	2020-12-28	0.00
NSP10	2020-12-28	0.00
NSP11	2020-12-28	0.00
NSP12	2020-12-28	1.00
M	2020-12-28	0.00
NSP13	2020-12-28	0.00
N	2020-12-28	1.50
NSP14	2020-12-28	0.00
NS3	2020-12-28	0.50
NSP15	2020-12-28	0.00
NSP16	2020-12-28	0.00
NS9b	2020-12-28	0.00
NS6	2020-12-28	0.50
NS9c	2020-12-28	0.00
NSP1	2020-12-28	0.00
NSP2	2020-12-28	0.50
NS8	2020-12-28	0.00
NSP3	2020-12-28	1.50
NSP4	2020-12-30	0.00
E	2020-12-30	0.00
NS7a	2020-12-30	0.00
NSP5	2020-12-30	0.00
NS7b	2020-12-30	0.00
NSP6	2020-12-30	0.00
NSP7	2020-12-30	0.00
NSP8	2020-12-30	0.00
Spike	2020-12-30	1.00
NSP9	2020-12-30	0.00
NSP10	2020-12-30	0.00
NSP11	2020-12-30	0.00
NSP12	2020-12-30	1.00
M	2020-12-30	0.00
NSP13	2020-12-30	0.00
N	2020-12-30	1.00
NSP14	2020-12-30	0.00
NS3	2020-12-30	2.00
NSP15	2020-12-30	0.00
NSP16	2020-12-30	0.00
NS9b	2020-12-30	0.00
NS6	2020-12-30	0.00
NS9c	2020-12-30	0.00
NSP1	2020-12-30	0.00
NSP2	2020-12-30	0.00
NS8	2020-12-30	0.00
NSP3	2020-12-30	0.00
NSP4	2021-01-02	0.00
E	2021-01-02	0.00
NS7a	2021-01-02	0.00
NSP5	2021-01-02	0.00
NS7b	2021-01-02	0.00
NSP6	2021-01-02	0.00
NSP7	2021-01-02	0.00
NSP8	2021-01-02	0.00
Spike	2021-01-02	1.00
NSP9	2021-01-02	0.00
NSP10	2021-01-02	0.00
NSP11	2021-01-02	0.00
NSP12	2021-01-02	1.00
M	2021-01-02	0.00
NSP13	2021-01-02	0.00
N	2021-01-02	1.50
NSP14	2021-01-02	0.00
NS3	2021-01-02	1.00
NSP15	2021-01-02	0.50
NSP16	2021-01-02	0.00
NS9b	2021-01-02	0.00
NS6	2021-01-02	0.00
NS9c	2021-01-02	0.00
NSP1	2021-01-02	0.00
NSP2	2021-01-02	0.50
NS8	2021-01-02	0.00
NSP3	2021-01-02	0.50
NSP4	2021-01-03	0.00
E	2021-01-03	0.00
NS7a	2021-01-03	0.00
NSP5	2021-01-03	0.00
NS7b	2021-01-03	0.00
NSP6	2021-01-03	0.00
NSP7	2021-01-03	0.00
NSP8	2021-01-03	0.00
Spike	2021-01-03	1.00
NSP9	2021-01-03	0.00
NSP10	2021-01-03	0.00
NSP11	2021-01-03	0.00
NSP12	2021-01-03	0.50
M	2021-01-03	0.00
NSP13	2021-01-03	0.00
N	2021-01-03	0.50
NSP14	2021-01-03	0.00
NS3	2021-01-03	1.00
NSP15	2021-01-03	0.00
NSP16	2021-01-03	0.00
NS9b	2021-01-03	0.00
NS6	2021-01-03	0.00
NS9c	2021-01-03	0.00
NSP1	2021-01-03	0.00
NSP2	2021-01-03	0.50
NS8	2021-01-03	0.00
NSP3	2021-01-03	0.00
NSP4	2021-01-04	0.00
E	2021-01-04	0.00
NS7a	2021-01-04	0.00
NSP5	2021-01-04	0.00
NS7b	2021-01-04	0.00
NSP6	2021-01-04	0.00
NSP7	2021-01-04	0.00
NSP8	2021-01-04	0.00
Spike	2021-01-04	0.50
NSP9	2021-01-04	0.00
NSP10	2021-01-04	0.00
NSP11	2021-01-04	0.00
NSP12	2021-01-04	0.50
M	2021-01-04	0.00
NSP13	2021-01-04	0.00
N	2021-01-04	0.50
NSP14	2021-01-04	0.50
NS3	2021-01-04	0.50
NSP15	2021-01-04	0.00
NSP16	2021-01-04	0.00
NS9b	2021-01-04	0.00
NS6	2021-01-04	0.00
NS9c	2021-01-04	0.00
NSP1	2021-01-04	0.00
NSP2	2021-01-04	0.00
NS8	2021-01-04	0.00
NSP3	2021-01-04	0.00
NSP4	2021-01-05	0.00
E	2021-01-05	0.00
NS7a	2021-01-05	0.50
NSP5	2021-01-05	0.00
NS7b	2021-01-05	0.00
NSP6	2021-01-05	0.50
NSP7	2021-01-05	0.00
NSP8	2021-01-05	0.00
Spike	2021-01-05	2.50
NSP9	2021-01-05	0.00
NSP10	2021-01-05	0.00
NSP11	2021-01-05	0.00
NSP12	2021-01-05	1.00
M	2021-01-05	0.00
NSP13	2021-01-05	0.00
N	2021-01-05	2.00
NSP14	2021-01-05	0.00
NS3	2021-01-05	1.50
NSP15	2021-01-05	0.00
NSP16	2021-01-05	0.00
NS9b	2021-01-05	0.00
NS6	2021-01-05	0.00
NS9c	2021-01-05	0.00
NSP1	2021-01-05	0.00
NSP2	2021-01-05	1.00
NS8	2021-01-05	0.50
NSP3	2021-01-05	0.50
NSP4	2021-01-06	0.00
E	2021-01-06	0.00
NS7a	2021-01-06	0.00
NSP5	2021-01-06	0.00
NS7b	2021-01-06	0.00
NSP6	2021-01-06	0.00
NSP7	2021-01-06	0.00
NSP8	2021-01-06	0.00
Spike	2021-01-06	1.00
NSP9	2021-01-06	0.00
NSP10	2021-01-06	0.00
NSP11	2021-01-06	0.00
NSP12	2021-01-06	1.50
M	2021-01-06	0.00
NSP13	2021-01-06	0.00
N	2021-01-06	1.00
NSP14	2021-01-06	1.00
NS3	2021-01-06	1.00
NSP15	2021-01-06	0.00
NSP16	2021-01-06	0.00
NS9b	2021-01-06	0.00
NS6	2021-01-06	0.00
NS9c	2021-01-06	0.00
NSP1	2021-01-06	0.00
NSP2	2021-01-06	0.00
NS8	2021-01-06	0.00
NSP3	2021-01-06	0.00
NSP4	2021-01-07	0.50
E	2021-01-07	0.00
NS7a	2021-01-07	1.00
NSP5	2021-01-07	0.00
NS7b	2021-01-07	0.00
NSP6	2021-01-07	1.50
NSP7	2021-01-07	0.00
NSP8	2021-01-07	0.00
Spike	2021-01-07	4.50
NSP9	2021-01-07	0.00
NSP10	2021-01-07	0.00
NSP11	2021-01-07	0.00
NSP12	2021-01-07	1.00
M	2021-01-07	0.50
NSP13	2021-01-07	0.50
N	2021-01-07	1.50
NSP14	2021-01-07	0.50
NS3	2021-01-07	0.50
NSP15	2021-01-07	0.50
NSP16	2021-01-07	0.00
NS9b	2021-01-07	0.00
NS6	2021-01-07	0.00
NS9c	2021-01-07	0.00
NSP1	2021-01-07	0.00
NSP2	2021-01-07	0.50
NS8	2021-01-07	0.00
NSP3	2021-01-07	0.50
NSP4	2021-01-12	0.50
E	2021-01-12	0.00
NS7a	2021-01-12	1.00
NSP5	2021-01-12	0.00
NS7b	2021-01-12	0.00
NSP6	2021-01-12	2.00
NSP7	2021-01-12	0.00
NSP8	2021-01-12	0.00
Spike	2021-01-12	6.00
NSP9	2021-01-12	0.00
NSP10	2021-01-12	0.00
NSP11	2021-01-12	0.00
NSP12	2021-01-12	1.50
M	2021-01-12	0.50
NSP13	2021-01-12	0.50
N	2021-01-12	3.50
NSP14	2021-01-12	0.50
NS3	2021-01-12	1.00
NSP15	2021-01-12	0.50
NSP16	2021-01-12	0.50
NS9b	2021-01-12	0.00
NS6	2021-01-12	0.00
NS9c	2021-01-12	0.00
NSP1	2021-01-12	0.00
NSP2	2021-01-12	0.50
NS8	2021-01-12	0.50
NSP3	2021-01-12	1.00
NSP4	2021-01-13	0.00
E	2021-01-13	0.00
NS7a	2021-01-13	0.00
NSP5	2021-01-13	0.00
NS7b	2021-01-13	0.00
NSP6	2021-01-13	0.00
NSP7	2021-01-13	0.00
NSP8	2021-01-13	0.00
Spike	2021-01-13	1.00
NSP9	2021-01-13	0.00
