protein	date	y
NSP10	2021-08-07	0.00
NSP11	2021-08-07	0.00
NSP12	2021-08-07	0.50
M	2021-08-07	0.00
NSP13	2021-08-07	0.50
N	2021-08-07	1.50
NSP14	2021-08-07	0.00
NS3	2021-08-07	0.50
NSP15	2021-08-07	0.00
NSP16	2021-08-07	0.00
NS9b	2021-08-07	0.00
NS6	2021-08-07	0.00
NS9c	2021-08-07	0.00
NSP1	2021-08-07	0.00
NSP2	2021-08-07	0.50
NS8	2021-08-07	0.50
NSP3	2021-08-07	1.50
