protein	date	y
NSP10	2021-07-31	0.00
NSP11	2021-07-31	0.00
NSP12	2021-07-31	0.50
M	2021-07-31	0.50
NSP13	2021-07-31	0.00
N	2021-07-31	1.00
NSP14	2021-07-31	0.00
NS3	2021-07-31	0.00
NSP15	2021-07-31	0.00
NSP16	2021-07-31	0.00
NS9b	2021-07-31	0.00
NS6	2021-07-31	0.00
NS9c	2021-07-31	0.00
NSP1	2021-07-31	0.00
NSP2	2021-07-31	0.00
NS8	2021-07-31	0.00
NSP3	2021-07-31	0.50
NSP4	2021-08-01	0.00
E	2021-08-01	1.00
NS7a	2021-08-01	0.00
NSP5	2021-08-01	0.00
NS7b	2021-08-01	0.00
NSP6	2021-08-01	0.00
NSP7	2021-08-01	0.00
NSP8	2021-08-01	0.00
Spike	2021-08-01	7.00
NSP9	2021-08-01	0.00
NSP10	2021-08-01	0.00
NSP11	2021-08-01	0.00
NSP12	2021-08-01	1.00
M	2021-08-01	1.00
NSP13	2021-08-01	0.00
N	2021-08-01	2.00
NSP14	2021-08-01	0.00
NS3	2021-08-01	0.00
NSP15	2021-08-01	0.00
NSP16	2021-08-01	0.00
NS9b	2021-08-01	0.00
NS6	2021-08-01	0.00
NS9c	2021-08-01	0.00
NSP1	2021-08-01	0.00
NSP2	2021-08-01	0.00
NS8	2021-08-01	0.00
NSP3	2021-08-01	2.00
NSP4	2021-08-02	0.50
E	2021-08-02	0.00
NS7a	2021-08-02	1.00
NSP5	2021-08-02	0.00
NS7b	2021-08-02	0.00
NSP6	2021-08-02	1.00
NSP7	2021-08-02	0.00
NSP8	2021-08-02	0.00
Spike	2021-08-02	5.50
NSP9	2021-08-02	0.00
NSP10	2021-08-02	0.00
NSP11	2021-08-02	0.00
NSP12	2021-08-02	1.00
M	2021-08-02	0.50
NSP13	2021-08-02	0.50
N	2021-08-02	1.50
NSP14	2021-08-02	0.00
NS3	2021-08-02	0.50
NSP15	2021-08-02	0.00
NSP16	2021-08-02	0.00
NS9b	2021-08-02	0.00
NS6	2021-08-02	0.00
NS9c	2021-08-02	0.00
NSP1	2021-08-02	0.00
NSP2	2021-08-02	0.00
NS8	2021-08-02	0.00
NSP3	2021-08-02	2.00
NSP4	2021-08-10	1.00
E	2021-08-10	0.50
NS7a	2021-08-10	1.00
NSP5	2021-08-10	0.00
NS7b	2021-08-10	0.50
NSP6	2021-08-10	0.50
NSP7	2021-08-10	0.50
NSP8	2021-08-10	0.00
Spike	2021-08-10	7.00
NSP9	2021-08-10	0.00
NSP10	2021-08-10	0.00
NSP11	2021-08-10	0.00
NSP12	2021-08-10	1.50
M	2021-08-10	1.00
NSP13	2021-08-10	1.00
N	2021-08-10	3.00
NSP14	2021-08-10	0.50
NS3	2021-08-10	1.00
NSP15	2021-08-10	0.00
NSP16	2021-08-10	0.00
NS9b	2021-08-10	0.00
NS6	2021-08-10	0.00
NS9c	2021-08-10	0.00
NSP1	2021-08-10	0.00
NSP2	2021-08-10	0.50
NS8	2021-08-10	0.00
NSP3	2021-08-10	2.00
NSP4	2021-08-11	1.50
E	2021-08-11	0.00
NS7a	2021-08-11	1.50
NSP5	2021-08-11	0.00
NS7b	2021-08-11	0.50
NSP6	2021-08-11	0.50
NSP7	2021-08-11	0.00
NSP8	2021-08-11	0.00
Spike	2021-08-11	5.50
NSP9	2021-08-11	0.00
NSP10	2021-08-11	0.00
NSP11	2021-08-11	0.00
NSP12	2021-08-11	1.50
M	2021-08-11	0.50
NSP13	2021-08-11	0.50
N	2021-08-11	2.50
NSP14	2021-08-11	1.00
NS3	2021-08-11	0.50
NSP15	2021-08-11	0.00
NSP16	2021-08-11	0.00
NS9b	2021-08-11	0.00
NS6	2021-08-11	0.00
NS9c	2021-08-11	0.00
NSP1	2021-08-11	0.00
NSP2	2021-08-11	0.00
NS8	2021-08-11	0.00
NSP3	2021-08-11	1.50
NSP4	2021-08-17	1.00
E	2021-08-17	0.00
NS7a	2021-08-17	1.00
NSP5	2021-08-17	0.00
NS7b	2021-08-17	0.50
NSP6	2021-08-17	0.50
NSP7	2021-08-17	0.00
NSP8	2021-08-17	0.00
Spike	2021-08-17	4.50
NSP9	2021-08-17	0.00
NSP10	2021-08-17	0.00
NSP11	2021-08-17	0.00
NSP12	2021-08-17	1.50
M	2021-08-17	0.50
NSP13	2021-08-17	0.50
N	2021-08-17	2.00
NSP14	2021-08-17	1.00
NS3	2021-08-17	1.00
NSP15	2021-08-17	0.00
NSP16	2021-08-17	0.00
NS9b	2021-08-17	0.00
NS6	2021-08-17	0.00
NS9c	2021-08-17	0.00
NSP1	2021-08-17	0.00
NSP2	2021-08-17	0.00
NS8	2021-08-17	0.00
NSP3	2021-08-17	1.50
NSP4	2021-08-30	0.00
E	2021-08-30	0.50
NS7a	2021-08-30	0.50
NSP5	2021-08-30	0.00
NS7b	2021-08-30	0.00
NSP6	2021-08-30	0.00
NSP7	2021-08-30	0.00
NSP8	2021-08-30	0.00
Spike	2021-08-30	4.00
NSP9	2021-08-30	0.00
NSP10	2021-08-30	0.00
NSP11	2021-08-30	0.00
NSP12	2021-08-30	0.50
M	2021-08-30	0.50
NSP13	2021-08-30	0.00
N	2021-08-30	1.00
NSP14	2021-08-30	0.00
NS3	2021-08-30	0.00
NSP15	2021-08-30	0.00
NSP16	2021-08-30	0.00
NS9b	2021-08-30	0.00
NS6	2021-08-30	0.00
NS9c	2021-08-30	0.00
NSP1	2021-08-30	0.00
NSP2	2021-08-30	0.00
NS8	2021-08-30	0.00
NSP3	2021-08-30	0.50
NSP4	2021-09-04	0.50
E	2021-09-04	0.00
NS7a	2021-09-04	1.00
NSP5	2021-09-04	0.00
NS7b	2021-09-04	0.50
NSP6	2021-09-04	0.50
NSP7	2021-09-04	0.00
NSP8	2021-09-04	0.00
Spike	2021-09-04	4.00
NSP9	2021-09-04	0.00
NSP10	2021-09-04	0.00
NSP11	2021-09-04	0.00
NSP12	2021-09-04	0.50
M	2021-09-04	0.50
NSP13	2021-09-04	1.00
N	2021-09-04	2.00
NSP14	2021-09-04	0.50
NS3	2021-09-04	0.50
NSP15	2021-09-04	0.50
NSP16	2021-09-04	0.50
NS9b	2021-09-04	0.00
NS6	2021-09-04	0.00
NS9c	2021-09-04	0.00
NSP1	2021-09-04	0.00
NSP2	2021-09-04	0.00
NS8	2021-09-04	0.50
NSP3	2021-09-04	2.50
